Designator,Mid X,Mid Y,Rotation,Layer
J1,146.182,-62.357,270.0,bottom
J2,159.883,-62.357,270.0,bottom
J3,146.685,-110.109,90.0,top
J4,126.619,-87.249,0.0,top
J5,168.529,-90.551,180.0,top
R1,160.655,-110.109,0.0,bottom
U3,147.678,-84.709,180.0,top
